Line Id,Weekend,Mode,Avg. Delay Seconds
1,0,M,78.189403536
1,1,M,150.937468689
2,0,M,111.379535572
2,1,M,140.781865203
3,0,T,90.521694466
3,1,T,151.827944791
4,0,T,83.970828410
4,1,T,143.692236025
5,0,M,80.474679284
5,1,M,159.370563763
6,0,M,135.558293897
6,1,M,197.695255125
7,0,T,77.102816431
7,1,T,154.759939580
8,0,T,101.311860338
8,1,T,185.517821520
9,0,T,109.944306886
9,1,T,183.018830861
12,0,B,143.224231528
12,1,B,224.226073900
13,0,B,135.336632255
13,1,B,217.956652257
14,0,B,143.557150558
14,1,B,201.418058478
17,0,B,139.735806187
17,1,B,222.490551694
19,0,T,81.179408215
19,1,T,189.110757498
20,0,B,113.331531239
20,1,B,220.579381538
21,0,B,149.224227773
21,1,B,199.022644377
25,0,T,99.666745656
25,1,T,153.628169014
27,0,B,154.740505052
27,1,B,214.740928806
28,0,B,117.058364424
28,1,B,224.764625307
29,0,B,108.884920519
29,1,B,194.989301212
33,0,B,162.503194402
33,1,B,184.730671198
34,0,B,97.658798787
34,1,B,201.960920380
36,0,B,130.494486082
36,1,B,208.375918996
37,0,B,165.703476983
37,1,B,239.730959949
38,0,B,103.248109477
38,1,B,205.079008324
39,0,T,102.363860713
39,1,T,205.355431671
41,0,B,124.538576933
41,1,B,238.906425207
42,0,B,121.046643365
42,1,B,116.324986341
43,0,B,164.361907019
43,1,B,206.711716548
44,0,T,106.318633365
44,1,T,198.487275974
45,0,B,106.107707726
45,1,B,185.924477270
46,0,B,63.435004897
46,1,B,158.129478702
47,0,B,115.974050860
47,1,B,172.606876930
48,0,B,106.521653056
48,1,B,200.496641263
49,0,B,85.884553063
49,1,B,183.589022722
50,0,B,149.134216959
50,1,B,244.447437582
51,0,T,103.964810485
51,1,T,169.122012329
53,0,B,107.804374790
53,1,B,187.202275423
54,0,B,110.297141335
54,1,B,226.729601630
55,0,T,71.121469701
55,1,T,153.949128424
56,0,B,146.809115547
56,1,B,231.080016311
57,0,B,164.867604876
58,0,B,116.883736372
58,1,B,226.421159612
59,0,B,119.266958064
59,1,B,241.040008635
60,0,B,134.183917839
60,1,B,239.021247383
61,0,B,123.218926308
61,1,B,210.461844431
62,0,T,182.268427832
62,1,T,231.514942866
63,0,B,112.029098518
63,1,B,193.565684290
64,0,B,112.334087495
64,1,B,216.720497450
65,0,B,93.101189768
65,1,B,195.347545962
66,0,B,99.468175051
66,1,B,211.380608641
69,0,B,247.696242377
70,0,B,174.613516490
71,0,B,79.890901128
71,1,B,128.353456213
72,0,B,119.280406837
72,1,B,168.041826718
74,0,B,143.438047354
74,1,B,202.797943302
75,0,B,144.153990849
75,1,B,244.632401665
76,0,B,143.453012626
76,1,B,236.137032843
77,0,B,188.823711832
78,0,B,124.681667136
78,1,B,173.164869721
79,0,B,126.690235240
79,1,B,221.115417355
80,0,B,110.367112916
80,1,B,234.224117934
81,0,T,76.592665671
81,1,T,157.840829270
82,0,T,96.632041749
82,1,T,175.073296639
83,0,B,150.558633054
83,1,B,219.340028759
86,0,B,140.640628217
86,1,B,176.982301198
87,0,B,103.439411152
87,1,B,221.589967407
88,0,B,144.755172021
88,1,B,217.173414136
89,0,B,145.010590072
89,1,B,200.270305160
92,0,T,96.039280429
92,1,T,195.178408162
93,0,T,79.537295791
93,1,T,179.591753047
95,0,B,84.829684821
95,1,B,148.017440878
97,0,T,102.306409325
97,1,T,216.752052886
98,0,B,185.769718521
98,1,B,175.652594264
